name,rev,price,desc
"Room 11
WebsiteDirections","4.5
79 Google reviews",$$ · Bakery,"Intimate nook with hipster vibe, plying eclectic small plates in a room with zinc bar & large patio."
"Masa 14
WebsiteDirections","3.8
152 Google reviews",$$ · Pan-Latin Restaurant,Modern decor provides a hip backdrop for creative small plates drawing from Asian & Latin cuisines.
"Old Ebbitt Grill
WebsiteDirections","4.3
965 Google reviews",$$ · American Restaurant,"Iconic tavern offering American meals, including popular oyster specials, in Victorian-style digs."
None,None,None,None
None,None,None,None
Tacos El Chilango,"4.3
27 Google reviews",$ · Mexican Restaurant,"This unassuming storefront, a spin-off of a popular food truck, purveys tacos & aguas frescas."
None,None,None,None
"Bayou
WebsiteDirections","3.8
46 Google reviews",$$ · Brunch Restaurant,Lively joint serving up New Orleans flavors & frequent live music in a funky setting.
"Boundary Road
WebsiteDirections","4.3
28 Google reviews",$$ · Eclectic Restaurant,"An exposed-brick tavern is the setting for draft beers, artisanal cocktails & upscale bar food."
None,None,None,None
"WE, THE PIZZA
WebsiteDirections","4.1
216 Google reviews",$ · Pizza Restaurant,"NYC-style pizza by the pie or slice & homemade sodas served in a black, white & red space."
None,None,None,None
"Heritage India
WebsiteDirections","3.6
39 Google reviews",$$ · Indian Restaurant,Serves elevated Indian street food-inspired small plates & classics amid traditional cultural decor.
"Bobby Van's Steakhouse
WebsiteDirections","3.9
56 Google reviews",$$$ · American Restaurant,Part of a small chain of upscale chophouses serving steaks & other classic fare in a clubby setting.
"Pizzeria Paradiso
WebsiteDirections","4.2
241 Google reviews",$$ · Pizza Restaurant,Casual restaurant with a central oven for wood-fired pizzas has a vast menu of international beers.
None,None,None,None
None,None,None,None
"Del Frisco's Grille - Washington, DC
WebsiteDirections","3.5
51 Google reviews",$$$ · Steak House,"Sophisticated chophouse chain serving steak, seafood, sandwiches & cocktails in a trendy space."
"Kellari Taverna
WebsiteDirections","4.2
44 Google reviews",$$$ · Greek Restaurant,Grilled whole fish stars on a classic Greek menu at this elegant restaurant with a long wine list.
"Smith Commons
WebsiteDirections","4.0
74 Google reviews",$$ · Bistro,"Multilevel bistro serving New American fare, beer & cocktails in a chic converted-warehouse space."
"Bub and Pop's
WebsiteDirections","4.7
86 Google reviews",$ · Sandwich Shop,"Warmly decorated nook serving up handcrafted hoagies & unique pickles, plus soups & salads."
"Open City
WebsiteDirections","4.1
316 Google reviews",$$ · Coffee Shop,"Pizza, all-day breakfast & more gourmet diner fare in an airy, tin-ceilinged space with a patio."
"Ripple
WebsiteDirections","4.1
49 Google reviews",$$$ · American Restaurant,"Colorful haunt with an inventive, seasonal New American menu & artisan cocktails in a comfy setting."
"Nage
WebsiteDirections","3.8
47 Google reviews",$$ · American Restaurant,Seafood-focused New American spot with happy hour & brunch in Scott Circle's Courtyard Marriott.
None,None,None,None
"Dino's Grotto
WebsiteDirections","4.2
34 Google reviews",$$ · Italian Restaurant,"Chef-owner Dean Gold's warm, rustic Italian bistro serving traditional & adventurous dishes."
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
"Teddy & The Bully Bar
WebsiteDirections","3.9
73 Google reviews",$$ · American Restaurant,"Theodore Roosevelt-inspired American fare like game, steak, oysters & drinks served in classy digs."
None,None,None,None
"City Tap House of DC - Penn Quarter
WebsiteDirections","3.9
125 Google reviews",$$ · New American Restaurant,"Elevated gastropub serving New American eats, craft beers & more in a rustic space with a patio."
None,None,None,None
None,None,None,None
None,None,None,None
"Kangaroo Boxing Club
WebsiteDirections","4.4
79 Google reviews",$ · American Restaurant,"House-smoked BBQ, creative sandwiches & sides are served in a cozy setting with a jukebox."
None,None,None,None
None,None,None,None
"The Fainting Goat
WebsiteDirections","4.2
66 Google reviews",$$ · American Restaurant,"Evocative gastropub doling out creative New American eats, booze & more in a brick-walled space."
"Mourayo
WebsiteDirections","4.5
24 Google reviews",$$$ · Greek Restaurant,Airy bistro with a Mediterranean ambiance serving contemporary Greek cuisine & wines.
"La Piquette
WebsiteDirections","4.7
11 Google reviews",$$ · French Restaurant,Convivial Gallic-themed bistro with a chalkboard menu featuring classic French fare & wines.
"Vinoteca Wine Bar and Bistro
WebsiteDirections","4.1
75 Google reviews",$$ · Bar,"Romantic wine bar/bistro offering small plates & entrees. Outside, there's a patio with bocce court."
"New Heights Restaurant
WebsiteDirections","4.0
22 Google reviews",$$$ · New American Restaurant,"Longtime DC go-to for New American fare in Arts & Crafts decor, & popular Gin Joint & Babinga bars."
"Boundary Stone
WebsiteDirections","4.5
105 Google reviews",$$ · American Restaurant,Neighborhood pub serving bar food & whiskey in a vintage setting with exposed brick & tin ceilings.
"AGORA
WebsiteDirections","4.4
115 Google reviews",$$ · Turkish Restaurant,"Turkish small plates & cocktails served in a trendy, low-lit, brick-walled space or on the patio."
"B Too
WebsiteDirections","3.9
73 Google reviews",$$$ · Belgian Restaurant,Bright spot with cowhide accents & rare charcoal oven in an open kitchen serves modern Belgian fare.
"RedRocks H Street
WebsiteDirections","4.0
40 Google reviews",$ · Pizza Restaurant,"Hopping chain spot serving Neapolitan pizzas, drinks & more in casual digs with outdoor seating."
"Astro Doughnuts & Fried Chicken
WebsiteDirections","4.4
152 Google reviews",$ · Chicken Restaurant,Hip grab-&-go serving a rotating roster of inspired donuts & creative renditions of fried chicken.
"Mulebone
WebsiteDirections","3.9
141 Google reviews",$$ · American Restaurant,Creative Southern fare served in a funky-chic space with down-home touches & occasional live music.
None,None,None,None
"RedRocks
WebsiteDirections","4.0
83 Google reviews",$$ · Pizza Restaurant,"Classic Neapolitan-style pizzas can be paired with beer or cocktails in this relaxed, rustic spot."
"Bistro Bohem
WebsiteDirections","4.4
40 Google reviews",$$ · Brunch Restaurant,"Bustling cafe with outdoor patio serving traditional Czech dishes alongside beer, wine & cocktails."
"Ben's Chili Bowl
WebsiteDirections","4.0
706 Google reviews",$ · American Restaurant,"Historic spot attracts locals & celebrities for the spicy hot dogs, chili-cheese fries & milkshakes."
"Clyde's of Georgetown
WebsiteDirections","4.1
183 Google reviews",$$ · American Restaurant,Long-running local chain serving classic American dishes & cocktails in a traditional setting.
"Barcelona Wine Bar 14th Street
WebsiteDirections","4.4
154 Google reviews",$$ · Spanish Restaurant,Spanish small plates & wine presented in rustic yet elegant digs with courtyard & outdoor fireplace.
"Occidental Grill & Seafood
WebsiteDirections","3.9
64 Google reviews",$$$ · American Restaurant,Local landmark for high-end American meals served in a posh space lined with portraits of statesmen.
None,None,None,None
"Art and Soul
WebsiteDirections","3.5
83 Google reviews",$$$ · Southern Restaurant (US),"Southern cuisine served in a contemporary dining room & on a patio with views, plus a menu for dogs."
"Rocklands Barbeque & Grilling Company
WebsiteDirections","4.1
63 Google reviews",$$ · Barbecue Restaurant,"Small, no-frills joint serving wood-only barbecue & American comfort-food sides, plus beer & wine."
None,None,None,None
None,None,None,None
"Right Proper Brewing Company Shaw Brewpub and Kitchen
WebsiteDirections","4.2
107 Google reviews",$ · American Restaurant,Housemade brews & Southern-influenced American eats in an industrial-chic space lined with murals.
None,None,None,None
"Westend Bistro
WebsiteDirections","3.7
28 Google reviews",$$$ · Bistro,Sleek bistro & bar in the The Ritz-Carlton Hotel offering locally sourced American fare.
"Hill Country Barbecue Market
WebsiteDirections","4.0
350 Google reviews",$$ · Barbecue Restaurant,"Texas BBQ & beer served in a rustic-chic, cafeteria-style setup, with nightly live music downstairs."
None,None,None,None
"Meridian Pint
WebsiteDirections","4.2
187 Google reviews",$$ · Bar,This modern-rustic watering hole known for its rotating drafts also offers pub grub & pool.
"Alba Osteria
WebsiteDirections","3.5
34 Google reviews",$$ · Italian Restaurant,"Buzzy spot serving wine & draft beer, as well as pizza, pasta & eats from Italy's wine country."
"Food Corner Kabob House
WebsiteDirections","4.7
42 Google reviews",$ · Afghani Restaurant,"Quick-serve chain joint serving Afghan eats such as kebab platters in a basic, relaxed environment."
"Bread Furst
WebsiteDirections","4.2
65 Google reviews",$ · Bakery,"Bustling bakery & kid-friendly hangout offering gourmet bread, pastries, cakes, coffee & light fare."
"Clyde's of Gallery Place
WebsiteDirections","3.8
276 Google reviews",$$ · American Restaurant,Long-running local chain serving classic American dishes & cocktails in a traditional setting.
"Zengo
WebsiteDirections","3.8
149 Google reviews",$$ · Asian Restaurant,"Hip eatery featuring Asian-Latin small plates for lunch & dinner, plus high-energy happy hour scene."
"Thally
WebsiteDirections","4.1
23 Google reviews",$$ · New American Restaurant,"Trendy eatery featuring a seasonal New American menu, custom cocktails & stylish, rustic decor."
None,None,None,None
"Comet Ping Pong
WebsiteDirections","4.0
113 Google reviews",$$ · Pizza Restaurant,A hip crowd eats pizza & wings while playing Ping-Pong & listening to bands in warehouse-chic digs.
"Zorba's Cafe
WebsiteDirections","4.2
140 Google reviews",$$ · Greek Restaurant,"Blue-&-white, counter-serve Greek joint with outdoor seating & an upstairs with a view."
"Ella's Wood Fired Pizza
WebsiteDirections","4.0
149 Google reviews",$$ · Pizza Restaurant,"Bustling pizzeria serving thin-crust pies, sangria & craft beer that's popular with happy-hour set."
"Lauriol Plaza
WebsiteDirections","3.9
434 Google reviews",$$ · Restaurant,This spacious eatery with a roof deck fills up with fans of basic Mexican fare & frozen margaritas.
"Zentan
WebsiteDirections","3.6
71 Google reviews",$$ · Japanese Restaurant,"Sleek Asian decor & an espionage theme, plus Japanese small plates, sushi & handcrafted cocktails."
"RICE
WebsiteDirections","4.1
38 Google reviews",$$ · Thai Restaurant,"Thai classics & innovative house specialties in a chic, exposed-brick & earth-toned space."
"BreadLine
WebsiteDirections","3.9
41 Google reviews",$ · Bakery,Simple bakery/cafe where lines form at lunch for high-end sandwiches made with specialty bread.
"Meiwah
WebsiteDirections","3.6
96 Google reviews",$$ · Chinese Restaurant,"Classic Chinese dishes are served in this popular, 2-story spot with floor-to-ceiling windows."
"El Centro D.F.
WebsiteDirections","4.0
171 Google reviews",$$ · Mexican Restaurant,"Mexican triplex with innovative takes on Mexican street eats, rooftop bar & basement tequileria."
None,None,None,None
"Tico DC
WebsiteDirections","3.9
73 Google reviews",$$ · Central American Restaurant,Chef Michael Schlow's New American food with Mexican & Spanish flourishes in a neo-rustic setting.
None,None,None,None
None,None,None,None
None,None,None,None
"Buck's Fishing & Camping
WebsiteDirections","4.1
32 Google reviews",$$$ · Seafood Restaurant,"Rustic camping-themed restaurant serving a short, seasonal menu of upscale American fare."
None,None,None,None
"PAUL Columbia Square
WebsiteDirections","3.3
15 Google reviews",$ · Bakery,None
"Hot N Juicy Crawfish
WebsiteDirections","4.3
142 Google reviews",$$ · Restaurant,"Casual, hands-on joint for Cajun crawfish, shrimp & lobster with a choice of seasonings & spices."
"Matisse
WebsiteDirections","4.1
20 Google reviews",$$$ · Modern French Restaurant,"Higher-end place crafting contemporary French-Mediterranean fare in an open, airy space."
"El Centro D.F.
WebsiteDirections","4.0
171 Google reviews",$$ · Mexican Restaurant,"Mexican triplex with innovative takes on Mexican street eats, rooftop bar & basement tequileria."
"Senart's Oyster & Chop House
WebsiteDirections","4.3
22 Google reviews",$$ · Oyster Bar Restaurant,Popular upscale seafood & steak spot starring a 50-ft. marble bar & fresh oysters at the happy hour.
"Bearnaise
WebsiteDirections","4.3
31 Google reviews",$$$ · French Restaurant,Upscale Parisian bistro & bar offering steak frites & other signature dishes in a classic setting.
"Rosa Mexicano Restaurant‎ - DC
WebsiteDirections","3.8
197 Google reviews",$$ · Mexican Restaurant,"Modern Mexican chain eatery known for tableside guacamole, creative margaritas & chic surrounds."
"Tony and Joe's Seafood Place
WebsiteDirections","3.4
92 Google reviews",$$$ · Seafood Restaurant,Floor-to-ceiling windows & outdoor seating provide scenic river views as patrons dine on seafood.
"Bistrot du Coin
WebsiteDirections","4.0
227 Google reviews",$$ · French Restaurant,"Bustling bistro with vintage posters, mussels by the bucket & other classic French & Belgian fare."
"1905 Restaurant
WebsiteDirections","4.1
47 Google reviews",$$ · Bistro,"Dimly lit speakeasy features upscale comfort dishes & craft cocktails in a romantic, cozy interior."
"Chef Geoff's
WebsiteDirections","4.0
56 Google reviews",$$ · American Restaurant,"American dishes with a twist, in a classic space that's both kid-friendly & has an active bar scene."
"Marvin
WebsiteDirections","3.9
130 Google reviews",$$ · Belgian Restaurant,Homage to Marvin Gaye with downstairs dining from Belgium & the American South & upstairs roof bar.
None,None,None,None
"Urbana
WebsiteDirections","3.6
50 Google reviews",$$ · Italian Restaurant,"Cool 1920's-style restaurant in the Hotel Palomar offering Italian cuisine, wine & happy hours."
None,None,None,None
"The Grill Room
WebsiteDirections","3.8
11 Google reviews",$$$ · American Restaurant,"A daily-changing American menu in modern luxe surrounds with huge windows, patio & views."
"Macon Bistro & Larder
WebsiteDirections","4.2
20 Google reviews",$$ · New American Restaurant,Warm neighborhood bistro where Southern home cooking meets French flair in a smart & airy interior.
"Soupergirl
WebsiteDirections","4.1
18 Google reviews",$ · Soup Restaurant,"Cheerful take-out spot for vegan & kosher soups, salads & breads made with seasonal ingredients."
"Nooshi
WebsiteDirections","4.1
89 Google reviews",$$ · Sushi Restaurant,"All things noodles & sushi are found at this Pan-Asian restaurant, popular for lunch & happy hour."
"Teaism Penn Quarter
WebsiteDirections","4.3
132 Google reviews",$$ · Asian Restaurant,"Coffees & teas served alongside a variety of bento boxes, sandwiches & cookies in a bright space."
Cafe Milano,"3.8
66 Google reviews",$$$ · Italian Restaurant,"Stylish cafe with sidewalk patio, refined Italian fare, colorful murals & frequent notable guests."
"Nooshi
WebsiteDirections","4.1
89 Google reviews",$$ · Sushi Restaurant,"All things noodles & sushi are found at this Pan-Asian restaurant, popular for lunch & happy hour."
"El Rey
WebsiteDirections","3.9
75 Google reviews",$ · Mexican Restaurant,"Tacos & tequila in a space fashioned out of shipping containers, plus a patio with retractable roof."
"MXDC Cocina Mexicana | By Chef Todd English
WebsiteDirections","3.9
97 Google reviews",$$ · Mexican Restaurant,"Bi-level, rustic-modern pick for Mexican staples reimagined by the celeb chef plus tequilas galore."
"Ping Pong Dim Sum - Chinatown
WebsiteDirections","3.4
164 Google reviews",$$ · Chinese Restaurant,Cosmopolitan tea house with a contemporary twist offering a dim sum bar & other Asian specialties & cocktails.
"Agua 301 Restaurant
WebsiteDirections","3.8
54 Google reviews",$$ · Mexican Restaurant,Waterside restaurant offering Mexican fare & many tequilas in a sharp space with vistas & a patio.
"Bodega Spanish Tapas & Lounge
WebsiteDirections","3.6
81 Google reviews",$$ · Tapas Bar,Spanish wines & small plates blend with bullfight decor at a romantic dark-lit wine bar & eatery.
"Jack Rose Dining Saloon
WebsiteDirections","4.3
158 Google reviews",$$$ · American Restaurant,"Whiskeys lead the way at high-end bar with American menu, themed dining rooms & an open air terrace."
"GCDC Grilled Cheese Bar
WebsiteDirections","3.9
78 Google reviews",$ · Sandwich Shop,Contemporary eatery dishing up grilled cheese sandwiches plus fried fare & charcuterie.
"Perry's Restaurant
WebsiteDirections","3.8
69 Google reviews",$$$ · Japanese Restaurant,"Sleek multi-level eatery serving Japanese fare, sushi & speciality cocktails, with a rooftop bar."
"Ching Ching Cha
WebsiteDirections","4.6
45 Google reviews",$ · Tea House,"Tearoom is a tranquil space for Chinese & Japanese teas, dumplings & Chinese desserts."
"Bar Charley
WebsiteDirections","4.4
58 Google reviews",$ · Bar,Retro-chic bar with a back patio presents inventive cocktails & an eclectic American menu.
"Soupergirl
WebsiteDirections","4.1
18 Google reviews",$ · Soup Restaurant,"Cheerful take-out spot for vegan & kosher soups, salads & breads made with seasonal ingredients."
"Acre 121
WebsiteDirections","3.6
34 Google reviews",$$ · Bar & Grill,A genteel go-to for BBQ & other Southern fare (with vegetarian options) plus live music on weekends.
None,None,None,None
"Firefly Restaurant - DC
WebsiteDirections","3.8
198 Google reviews",$$ · American Restaurant,"Restaurant built around a large indoor tree, serving seasonal, local New American comfort food."
"Carmine's Restaurant
WebsiteDirections","3.8
190 Google reviews",$$ · Italian Restaurant,Southern Italian cuisine is served family-style at this sprawling 1930s-style dining hall.
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
"Pesce
WebsiteDirections","3.8
30 Google reviews",$$$ · Seafood Restaurant,Airy seafood bistro featuring daily market-fresh chalkboard specials & a marble bar in the back.
"Scion Restaurant
WebsiteDirections","3.7
68 Google reviews",$$ · American Restaurant,"Bright space with a year-round patio, creative American fare, craft beer & bottomless liquid brunch."
"CIRCA at Dupont
WebsiteDirections","3.9
75 Google reviews",$$ · American Restaurant,"Polished bistro with creative New American fare, a heated patio & plenty of wines & cocktails."
"CIRCA at Foggy Bottom
WebsiteDirections","4.1
82 Google reviews",$$ · American Restaurant,"Trendy restaurant with creative New American fare, a popular patio, & plenty of wines & cocktails."
"The Hamilton
WebsiteDirections","4.4
372 Google reviews",$$ · American Restaurant,Trendy American eatery with a late-night menu plus plenty of room for a live music space downstairs.
None,None,None,None
"Teaism Dupont Circle
WebsiteDirections","4.2
96 Google reviews",$ · Tea House,"Teahouse with Zen-like decor serving light Japanese & Thai-style fare, plus snacks & breakfast."
"Teaism Lafayette Park
WebsiteDirections","3.9
57 Google reviews",$$ · Tea House,Eastern-inspired teahouse serving a light menu of Asian fare alongside leafy brews.
None,None,None,None
"Stoney's
WebsiteDirections","4.0
94 Google reviews",$$ · Bar,"Tin-ceilinged bar near Studio Theatre with microwbrews & bites, including a grilled cheese sandwich."
"Café du Parc
WebsiteDirections","3.2
57 Google reviews",$$$ · French Restaurant,Inventive takes on French classics are turned out at this elegant spot with lots of outdoor seating.
"Soi 38
WebsiteDirections","4.3
35 Google reviews",$$ · Thai Restaurant,Thai street food & innovative cocktails in a spacious eatery channeling Bangkok night markets.
"Martin's Tavern
WebsiteDirections","4.2
121 Google reviews",$$ · Pub,Popular tavern serving American eats in both a cozy interior with wooden booths & outdoors.
"Sequoia DC
WebsiteDirections","3.4
173 Google reviews",$$$ · American Restaurant,Waterfront American eatery features a multilevel outdoor terrace with a popular bar & Potomac views.
"NOPA KITCHEN+BAR
WebsiteDirections","3.9
39 Google reviews",$$$ · American Restaurant,"Stylish, vast dining room & airy lounge offering raw bar & American fare with French & Asian twists."
None,None,None,None
None,None,None,None
"Acacia Bistro & Wine Bar
WebsiteDirections","3.5
28 Google reviews",$$ · Mediterranean Restaurant,"Small, airy bistro & patio with Mediterranean small & large plates, global wines & happy hour."
"Baby Wale
WebsiteDirections","3.9
33 Google reviews",$$ · New American Restaurant,Industrial-style pub with a lengthy bar & a menu built on sandwiches & larger American plates.
"Kramerbooks & Afterwords
WebsiteDirections","4.1
505 Google reviews",$$ · Cafe,"Landmark indie bookstore & cafe with a menu of upscale American fare, wine & draft beer. Open late."
"Fuel Pizza & Wings
WebsiteDirections","3.7
57 Google reviews",$ · Pizza Restaurant,"Pizzeria chain with a vintage-gas-station theme & a menu of creative pies, wings & sandwiches."
None,None,None,None
"Thaitanic Restaurant
WebsiteDirections","3.9
91 Google reviews",$$ · Thai Restaurant,"Classic Thai dishes & house specialties in varying degrees of spiciness, served in colorful digs."
None,None,None,None
"Old Glory
WebsiteDirections","3.6
135 Google reviews",$$ · Barbecue Restaurant,"Barbecue specialties such as ribs & pulled pork, plus a rooftop patio & sports on TV."
"Boss Shepherd's Restaurant
WebsiteDirections","3.9
23 Google reviews",$$ · Southern Restaurant (US),A classy power-player spot with Southern-accented American fare & whiskey poured from barrels.
"Cafe Saint-Ex
WebsiteDirections","3.7
128 Google reviews",$$ · French Restaurant,Cafe with an aviation theme & tin ceiling serves an eclectic bistro menu to a neighborhood crowd.
None,None,None,None
"Penn Commons
WebsiteDirections","4.2
48 Google reviews",$$ · American Restaurant,"Updated American food in an industrial-chic space with a huge bar, communal tables & leather booths."
"Sonoma Restaurant and Wine Bar
WebsiteDirections","3.8
54 Google reviews",$$ · American Restaurant,Small & large plates of New American fare are given a Californian spin at this breezy eatery & bar.
None,None,None,None
"Cactus Cantina
WebsiteDirections","4.2
138 Google reviews",$$ · Restaurant,"Tex-Mex fare, margaritas & a patio draw college students & families to this lively, casual spot."
"The Coupe
WebsiteDirections","4.0
143 Google reviews",$$ · American Restaurant,"Sleek, 24/7 coffeehouse & lounge serving American gastropub fare, milkshakes & specialty cocktails."
None,None,None,None
"Roofers Union
WebsiteDirections","4.1
70 Google reviews",$$ · American Restaurant,"Unique American fare & craft cocktails draw fans to this rustic, 3-story tavern with rooftop views."
"Cuba Libre Restaurant & Rum Bar
WebsiteDirections","3.8
198 Google reviews",$$ · Cuban Restaurant,Cuban cuisine & a vast rum bar accented by Caribbean decor & late-night salsa dancing.
"The Arsenal
WebsiteDirections","3.8
6 Google reviews",$$ · American Restaurant,Adventurous American eats paired with small-batch brews in a circa-1919 industrial-chic space.
"La Tomate Italian Bistro
WebsiteDirections","3.3
84 Google reviews",$ · Italian Restaurant,"Adjacent to sibling La Tomate, this day-to-night cafe serves espresso, pastries, salads & panini."
"The Dubliner Restaurant
WebsiteDirections","3.9
167 Google reviews",$$ · Irish Pub,Guinness flows at this traditional pub with a menu of Irish & American grub plus live music nightly.
