name,stars,review,cooking_type,address,usd_avg,State,rev,price
Benny's Chop House,0.0,"Old-school service meets modern elegance at Benny's Chop House. A far cry from the clubby, masculine steakhouses of yesteryear and just a stone's throw from the Magnificent Mile, this expansive but welcoming space goes for understated glamour, with tasteful inlaid wood and burgundy columns offset by natural stone walls, white birch branches, and a marble bar. Though Benny's steaks are the draw, those prime cuts of filet mignon and ribeye are matched by fresh seafood like simply roasted bone-in halibut fillet and classic raw bar towers, along with a variety of pastas and salads. A trio of sliders featuring mini portions of Benny's burger, crab cake, and sliced filet with horseradish cream elevate the idea of bar snacks to new heights.",Steakhouse,"444 N. Wabash Ave., Chicago 60611",62.0,IL,"4.4
119 Google reviews",$$$ · Steak House
Joe's,0.0,"Despite the ample neighborhood competition, this outpost of the original Miami seafood, steak, and stone crab palace does just fine up north. Clubby, masculine décor fashions a classic scene, while business diners and lively martini-toasting groups keep the leather booths full from lunch through dinner. Stone crab claws accompanied by signature mustard sauce are shared by nearly every table, followed by decadent dishes like a bone-in filet with their simple yet delicious coriander-spiked seasoning. Americana sides like Jennie's fontina and asiago mashed potatoes, or grilled tomatoes topped with cheesy spinach pesto, are ample enough to share. Joe's Key lime pie is rightly famous, but other retro sweets like coconut cream pie are worth a forkful.",American,"60 E. Grand Ave., Chicago 60611",112.5,IL,None,None
Sable Kitchen &amp; Bar,0.0,"Tucked into the spacious and beautiful Hotel Palomar, Sable Kitchen & Bar is a sleek, sultry, and sophisticated number, fitted out with different dining areas. There's the stunning 40-foot bar, tricked out in gorgeous dark paneling, soft leather seats, and unique light fixtures. The expansive dining room is equally elegant and urbane, attracting dates looking for more intimacy or friends catching up over dinner.The chef manning the ship here is Lawrence Letrero, and an evening in his very capable hands might entail a decadently spicy and wonderfully complex starter of shrimp and roasted squash curry. Then diners may graduate to crispy, juicy adobo pork belly, served with sticky rice, and a pickled green papaya salad topped with a fried farm egg.",American,"505 N. State St., Chicago 60654",37.0,IL,"4.2
146 Google reviews",$$$ · Gastropub
Sunda,0.0,"The Sunda shelf, an underwater outcropping that stretches along the coastline of Southeast Asia, connects the countries that provide culinary inspiration for this enormous River North lounge and restaurant. The beautiful people are naturally attracted to the clubby vibe Sunda radiates, complete with thumping music and a wide range of cocktail and sake selections. The seafood is as fresh as the vibe is sultry, with numerous raw and cooked options like tempura rock shrimp tossed with candied walnuts in a creamy honey aïoli; or maki like the ""tail of two tunas"" pairing yellowfin and super white tuna with pickled jalapeños and fried shallots. Meat-eaters won't go hungry with creative plates like lemongrass beef lollipops and oxtail potstickers.",Fusion,"110 W. Illinois St., Chicago 60654",37.0,IL,"4.3
328 Google reviews",$$ · Sushi Restaurant
¡Hello Tacos! De Cero,0.0,"As a muy popular member of restaurant row, this spot takes the traditional taqueria and turns it on its head...with spice! Lively music keeps the energy level high, though low lighting lends a cozy vibe to the sleek wood-dominated space. Two rooms, each equipped with a bar, make it easy to get started with a strawberry-mint margarita or Mexican beer. Don't let the name change fool you; ¡Hello Tacos! is still everything you've come to love about De Cero over the years. Tacos are made with hand-pressed corn tortillas and ordered individually, letting diners sample a range of fillings including rich duck confit and spicy corn salsa. Ample chunks of carnitas with habanero salsa and julienned radish is another fave, while jalapeño-marinated skirt steak tortas are pressed to order and ooze with melting Chihuahua.",Mexican,"816 W. Randolph St., Chicago 60607",37.0,IL,"3.9
124 Google reviews",$$ · Mexican Restaurant
Girl &amp; The Goat,0.0,"The revolving door never stops turning as Girl & The Goat's party keeps going. Even on a Monday night, guests linger for hours, shouting over the din at this sceney but always friendly stunner. Appropriately rustic wooden pillars and beams connect a warren of seating areas, from elevated platforms to banquettes to dim private corner nooks. A pick-your-own-protein adventure, the menu is organized by ingredient with a dedicated section for goat. Paper-thin goat carpaccio is dusted with fried capers, beads of smoked trout roe, and an olive-maple vinaigrette. Red currants brighten the luxe meatiness of wood-fired scallops with subtly smoked uni cream. The kitchen will even send out mini portions of menu items for solo diners-a truly thoughtful touch.",Contemporary,"809 W. Randolph St., Chicago 60607",37.0,IL,"4.6
693 Google reviews",$$ · New American Restaurant
Connie's Pizza,0.0,"No one knows who Connie was, but the name happened to be on the building bought by Jim Stolfe in 1963, and it stuck. Even Chicagoans who've never set foot in this spacious location know about its near-monopoly at White Sox games (including a complimentary shuttle to U.S. Cellular Field) and constant presence at citywide festivals. Those who do step inside the flagship come for the convivial vibe and, of course, pizza. Of the many options, the deep-dish is Miss Popularity, but it's fun to go one further with a stuffed pizza topped with a buttery crust. The garlic- and oregano-laced sauce is pleasantly tangy, and carnivores sing the praises of Connie's plump fennel sausage. Call ahead to forego the 45-minute cooking time and pick your pie up at the drive-thru.",Pizza,"2373 S. Archer Ave., Chicago 60616",37.0,IL,None,None
Merlo on Maple,0.0,"Inside a graciously decorated Victorian townhouse, Chef/owner Luisa Silvia Marani proudly showcases the bounty of her native Bologna with an Emiliana-inflected accent and delicious Northern Italian fare. Her frequently changing roster of luscious dishes are edible billboards for the foods of the region-think mortadella di Bologna and tartufi neri del'Umbria. Rabbit ragù clings to delicate parsley-flecked bow tie pasta tossed with Parmigiano-Reggiano and copious handfuls of butter. Wine-braised bone-in lamb shank, served in its own rich sauce, needs little else to shine. Signature budino di mascarpone, cioccolato e caffé is the standard-bearer for proper tiramisù, accompanied by tart sugar-coated red currants to offset the creamy sweetness.",Italian,"16 W. Maple St., Chicago 60610",62.0,IL,"4.3
38 Google reviews",$$$ · Northern Italian Restaurant
Riccardo Trattoria,0.0,"The timeless wood-and-cream décor doesn't resemble an Italian nonna's kitchen, but no matter-the soulful personality of Chef/owner Riccardo Michi and his cache of family recipes make his eponymous restaurant a second home to nearly half the neighborhood. It's a spot that's suited for flirty date nights, boisterous dinners, and every occasion in between. As befits the word ""trattoria,"" rustic Italian preparations take precedence, but the simplicity satisfies. Chunks of pork sausage add heft to a heaping bowl of hand-rolled cavatelli bathed in a light tomato cream sauce, and curls of grilled calamari need only a squirt of lemon, splash of olive oil, and sprinkle of parsley to sing. For dessert, a thin, buttery tart shell cradles tender wine-poached pears.",Italian,"2119 N. Clark St., Chicago 60614",37.0,IL,"4.2
32 Google reviews",$$$ · Italian Restaurant
Mixteco Grill,0.0,"Floor-to-ceiling windows that wrap around the corner of Montrose and Ashland are flanked by cheerful orange curtains that imitate Mixteco's fiery and flavorful Mexican fare. A large open kitchen splits the casual dining space, giving the front room's patrons a firsthand look at the mesquite-fired grill and from-scratch preparations. Non-traditional menu items might miss the mark here and there, but familiar dishes don't disappoint-and neither do the reasonable prices that pull in crowds of regulars. Shredded chicken enchiladas (wrapped with house-made tortillas) balance earthy, complex mole negro with a burst of brightness from radish matchsticks, cilantro, and raw onion; and thick and creamy refried black beans ensure that no one leaves hungry.",Mexican,"1601 W. Montrose Ave., Chicago 60613",37.0,IL,"4.2
57 Google reviews",$$ · Mexican Restaurant
P.S. Bangkok,0.0,"Even first-timers are part of the family at P.S. Bangkok, a charming Lakeview retreat run by a trio of sisters. Wind chimes ring softly as Sue (who runs the front of the house) graciously welcomes each guest. Linen-draped tables, wooden arches, and bamboo accents lend subtle elegance to the space. Diners do double takes at intriguingly titled dishes that depart from the usual Thai menu. ""Love me tender"" duck is a sweetheart of a meal, featuring fanned duck breast slices with crackling, sugary skin in a citrus-tinged sauce. ""Beef paradise"" is marinated in garlic and spices, and served with Thai barbecue dipping sauce. Stir-fried entrées named for flavor profiles like pungent, tangy, or peppery let guests cater to their own taste buds.",Thai,"3345 N. Clark St., Chicago 60657",18.5,IL,"3.7
32 Google reviews",$ · Thai Restaurant
Shokran Moroccan Grill,0.0,"Embrace Moroccan hospitality to the fullest and bone up on your Arabic at Shokran, where the country's culinary culture is displayed in a romantic setting. Nooks and crannies throughout the dining rooms offer intimacy; take a seat among the cozy cushioned banquettes and prepare to say ""shokran"" (thank you) repeatedly as courses come your way. Traditional dishes offer the most authentic experience, like sweet and savory bastilla, a flaky pastry starter that's large enough to serve two, stuffed with spiced chicken and dusted with cinnamon. Famously rustic, the lamb Marrakesh tagine features a meaty bone-in shank adorned with bitter slivers of preserved lemon and surrounded by sweet peas, whole black olives, and tender quartered artichoke hearts.",Moroccan,"4027 W. Irving Park Rd., Chicago 60641",18.5,IL,"4.4
58 Google reviews",$$ · Moroccan Restaurant
Nana,0.0,"While Nana Solis is the matriarch of this family-run Bridgeport favorite, her children (who were raised just upstairs) keep the kitchen and dining room humming. A devoted breakfast crowd takes up residence at the coffee bar and butcher block tables each day, often perusing the colorful modern artwork for sale on the walls. Locally sourced and organic are the guiding principles behind every ingredient here; many dishes also get a little Latin flavor. Soft avocado wedges are tossed in panko, then flash-fried for a crispy exterior and creamy center. ""Nanadicts"" give a Southwestern accent to eggs Benedict by adding chorizo, corn pupusas, and poblano cream. Sunday nights feature family-style fried chicken dinners fit for large groups with larger appetites.",American,"3267 S. Halsted St., Chicago 60608",37.0,IL,"4.3
138 Google reviews",$$ · New American Restaurant
Gilt Bar,0.0,"In the shadow of Merchandise Mart, it's not easy to miss the revolving door entrance to Gilt Bar, a moody and imposing River North favorite. The bar up front mixes cocktails to a metronomic rhythm, while the back is more intimate with brick walls, studded leather banquettes, and nostalgic lighting. However make no mistake: this is no Bugsy Malone speakeasy, but a grown-up version for bar-flies with astute palates. Snack on creamy burrata and shaved ham finished with a swig of extra virgin olive oil before savoring tender, flavorful pork meatballs on a bed of wilted kale with romesco and almond gremolata. In the end, gorge on an unctuous brown butter-apple cake with salted caramel and vanilla ice cream-perhaps to the dulcet tunes of Bob Dylan. Bliss.",Gastropub,"230 W. Kinzie St., Chicago 60654",37.0,IL,"4.5
199 Google reviews",$$ · Bar
Big Jones,0.0,"Big Jones has all the genteel charm you'd expect from a restaurant specializing in Southern cuisine. Green brocade wallpaper surrounds large framed prints of haunting low-country landscapes. Guests are greeted with a ""Guide to Good Drinking"" upon arrival, featuring barrel-aged punch selections and a lengthy roster of Bourbon and whiskey. Start with whole kernel-studded cornbread and honey butter, a fitting salvo for a meal steeped in Southern tradition. Sweet potato bisque is poured tableside over cornbread croutons, spicy apple chutney, and fried sage. Pickled pork shank and smoked jowl beef up red beans, braised voodoo greens, and aromatic Arkansas rice. An elderberry jelly roll sprinkled with Benne seeds finishes the meal on a classic note.",Southern,"5347 N. Clark St., Chicago 60640",37.0,IL,"4.3
114 Google reviews",$$ · Southern Restaurant (US)
Ceres' Table,0.0,"Rounding out a second year in its Lakeview home, Ceres' Table continues its reign as a stylish setting for enjoying the kitchen team's rustic Italian cooking. Whether waking up with brunch, snacking at aperitivo hour, or filling up with the $22 trio (pizza, beer, and dessert), there's an excuse to stop in for any occasion or budget. Regional Italian favorites from Tuscany to Sicily are represented throughout the menu. A wood-burning oven brings cannellini beans to creamy consistency in a broth for meaty monkfish osso buco. Then oversized orecchiette cups chunks of tender pork sugo, balanced by bitter rapini; and Tuscan torta della nonna is sweet simplicity, with buttery baby pine nuts coating a wedge of vanilla-tinged custard pie.",Mediterranean,"4882 N. Clark St., Chicago 60640",37.0,IL,"4.3
38 Google reviews",$$$ · Italian Restaurant
Han 202,0.0,"In a neighborhood dominated by sports bars and Irish pubs, Han 202 stands apart as a sophisticated pan-Asian alternative for White Sox watchers. Bare wood tables and high-backed coffee-and-cream leather seats convey polish-an attitude reinforced by the skilled chefs and servers. Dramatic driftwood sculpture and framed art play against pale walls. The $35 four-course prix-fixe menu is a true bargain, with each course punctuated by precisely cut fresh bites of sushi. Jeju Island hirame is lightly brushed with mirin and kissed with wasabi. Lobster tail arrives warm and buttery with a dollop of fresh ricotta and tender red beet halves, drizzled with olive oil. Seared duck breast adds juicy flavor to standard steamed vegetables in a fermented bean sauce.",Asian,"605 W. 31st St., Chicago 60616",37.0,IL,"4.3
20 Google reviews",$$ · Chinese Restaurant
Big Star,0.0,"Bucktown's favorite taqueria has all the fixings for a fiesta. Craft beers, custom-bottled Bourbons, and pitchers of margaritas wash down the affordable abundance. And, despite the grungy décor, the vibe is as intoxicating as the aroma of the taco de chorizo verde. The patio is even more of a party, and sun-starved Chicagoans can be spotted out there soon after the groundhog has (or hasn't) seen his shadow. Tacos are served individually, thus allowing ample opportunity to graze on the likes of the pollo pibil-achiote- and citrus-marinated chicken thighs steamed in banana leaves, topped with pickled onion slices and cilantro. Save room for the salsa de frijole con queso, a crock of pinto bean dip accompanied by lime salt-sprinkled tortilla chips.",Mexican,"1531 N. Damen Ave., Chicago 60622",18.5,IL,"4.3
693 Google reviews",$$ · Mexican Restaurant
Coast Sushi Bar,0.0,"Dimly lit but lively, this high-volume sushi bar cranks out a remarkable variety of rolls to keep up with demand especially on weekends from noon till night. Two spacious dining rooms and a narrow sushi counter armed with wood-framed chairs accommodate the chatty crowds. Bring your own sake, wine, and bottle opener to make the wait more tolerable. The broad selection of Japanese dishes ranges from signature maki and nigiri to innovative appetizers like fried soft-shell crab with mango-shallot salsa. Miso soup spiked with jalapeño is served in a coffee cup for easy sipping. A deep bowl of boatman chirashi is laden with orange tobiko, pickled veggies, shiso leaves, and an array of sashimi. Dig right in or grab a sheet of toasted nori for a custom-wrapped hand roll.",Japanese,"2045 N. Damen Ave., Chicago 60647",37.0,IL,"4.3
144 Google reviews",$$ · Asian Restaurant
Cumin,0.0,"This proudly-run blend of Nepalese and Indian eats sits among a plethora of bars, coffee shops, and vintage stores in boho-centric Bucktown. While fans of the sub-continent love Cumin for its clean and modern surrounds, linen-lined tables struggle to contain the myriad plates that pile up during its ubiquitous lunch buffet. Paintings of mountain scenes decorate crimson-red walls and prep diners for an authentic range of flavorful food hailing from the Northeast. Nibble on crispy samosas or onion bhajis (finely shredded onion fritters) teamed with mint chutney. Then soak pieces of buttery naan in rich and vibrant saag bobbing with soft chunks of chicken. For a sweet finale, dig into a creamy pistachio kulfi or opt for a light and fruity mango lassi.",Indian,"1414 N. Milwaukee Ave., Chicago 60622",18.5,IL,"4.1
136 Google reviews",$$ · Indian Restaurant
Lillie's Q,0.0,"Bucktown's urban barbecue shack takes a scholarly approach to 'cue, as each table bears a caddy stocked with six regionally specific sauces for embellishing the slow-smoked meats to come. Cocktails served in Mason jars are a specialty made from ""moonshine"" offered at three proof levels, and servers in modern mechanic's shirts tend to the crowds clamoring for heaps of smoked meats rubbed in ""Carolina dirt."" Tri-tip is tender and pink-tinged after its time in the smoker with the joint's signature dry rub; while the succulent smoked hot link rests in a butter-griddled, top-sliced brioche bun served with Southern-style coleslaw. And if at-home grilling is your thing, you'll be pleased to know that the mouthwatering sauces are available by mail order.",Barbecue,"1856 W. North Ave., Chicago 60622",37.0,IL,None,None
Ruxbin,0.0,"Refurbished and repurposed is the rationale behind Ruxbin's funky décor. In the tiny first-floor space, salvaged apple juice crates form wall panels and seat belts become chair backs. Up a few stairs, a stainless steel communal table offers a view into the semi-open kitchen. Meals usually start with popcorn seasoned with changing flavors like sesame and seaweed-a preview of the menu's mix of American and international ingredients. A fresh oyster trio gets three distinct garnishes: sambal-pickled ginger, tangy apple mignonette, and pork belly with a smoked aroma revealed by lifting a glass cloche. Seared scallops and pork carnitas meld with black raisin emulsion. Rest easy that you won't miss the booze here after trying a house-made basil-hibiscus soda.",American,"851 N. Ashland Ave., Chicago 60622",37.0,IL,"4.7
65 Google reviews",$$$ · New American Restaurant
tocco,0.0,"Are we in Milan or Wicker Park? Tocco brings haute design and fashion to the table with such upscale textural touches as polished resin, faux ostrich skin, and bubblegum-pink accents in this sleek black-and-white space. Don your catwalk best before visiting: a fashion-centric display near a long communal table hints at the chichi theme present throughout. The décor is cutting-edge, but the menu respects and returns to Italian standbys. Gnocco fritto, a dough pillow served with charcuterie, is irresistible to even the most willowy fashionistas; while cracker-crisp artisan pizzas from wood-burning ovens are equally pleasing. Traditional involtini di pollo, pounded thin and rolled around prosciutto, gets a hit of brightness from lemon and white wine sauce.",Italian,"1266 N. Milwaukee Ave., Chicago 60622",37.0,IL,"4.2
40 Google reviews",Italian Restaurant
Kuma's Corner,0.0,"Even vegans know the cult following of Kuma's Corner, though there's absolutely nothing for them on the menu at this heavy metal burger joint on an unassuming Avondale corner. It's not for the faint of heart: between the crowds, the crunching blasts of sound, and the NC-17 artwork. Steady yourself with a beer or Bourbon while waiting for a table and a juicy patty. The lines wouldn't be stretching out the door if the kitchen weren't cranking out kick-ass burgers. The menu features more than a dozen options of 10-oz. monsters served on pretzel rolls with myriad toppings like roasted garlic mayonnaise, house-made hot sauce, and pepper jack cheese. Almost as famous, mac and cheese with add-ins offers a comparably artery-clogging change of pace.",American,"2900 W. Belmont Ave., Chicago 60618",18.5,IL,"4.4
714 Google reviews",$$ · Bar & Grill
Noon-O-Kabab,0.0,"A bustling lunch crowd appreciates the welcoming hospitability at this family-run Persian favorite in the upper reaches of Humboldt Park. Intricate tilework and patterned wall hangings offset the closely set linen-topped tables and add touches of elegance to the homey space. A basket of warm pita bread and a bowl of salty Bulgarian feta, parsley, and raw onions sate the appetites of those perusing the kababs on the menu. Succulent, hand-formed lamb koubideh and beef tenderloin skewers are juicy and charred with a hint of spice, and vegetarian offerings like tadiq with ghormeh sabzi play up the textural contrast of crispy pan-browned saffron rice against flavorful stewed spinach. Sample a glass of ""awesome"" house Earl Grey tea steeped with cardamom and ginger.",Persian,"4661 N. Kedzie Ave., Chicago 60625",18.5,IL,"4.3
168 Google reviews",$$ · Persian Restaurant
Taste of Peru,0.0,"Tucked inside a strip-mall and entirely plain-Jane in appearance, foodies trek to this caliente fave for a formidable meal of authentic dishes. The owner is chatty and tunes groovy, all of which make for a wonderful precursor to such peppery items as aji de gallina (shredded chicken in a walnut sauce, enriched with parmesan) or chupe de camarones (a hot, spicy, bright bowl of shrimp and rice). This is clearly not the place for a pisco sour, but feels like Sundays con la familia where papa a la huancaina doused in amarillo chile, and arroz chaufa with veggies and beef jerky-like strips are merely some of the items on offer. It's worth noting though that while the food is decidedly traditional, mysteriously there's no pork to be found anywhere on the menu.",Peruvian,"6545 N. Clark St., Chicago 60626",18.5,IL,"4.2
90 Google reviews",$$ · Peruvian Restaurant
Chez Joël,0.0,"With tables covered in archetypal butcher's paper, butter-yellow walls, and red velvet window dressings, Chez Joël adds a touch of je ne sais quoi to Little Italy. The cozy, romantic setting is filled with expats and locals reliving memories of their trips to the City of Light. Taxidermied pheasants keep watch over the room from their high perches, like a Deyrolle curiosity. The kitchen gives classic French cuisine a soupçon of international embellishment. Three plump scallops spooned with basil pesto are set over a pool of tomato coulis for a Franco-Italian take on coquilles St. Jacques. A simple Caesar salad benefits from fresh ingredients like tender grilled chicken and crisp romaine lettuce in a garlicky dressing. Tasty pastas round out the menu.",French,"1119 W. Taylor St., Chicago 60607",37.0,IL,"4.4
40 Google reviews",$$$ · French Restaurant
DeCOLORES,0.0,"This family-owned Mexican restaurant in Pilsen's art district appropriately doubles as a gallery, with locals' works rotating frequently on the coffee-colored walls. If the pieces for sale don't strike a chord, just admire the bar's halting design of stylized metal branches snaking between shelves of colorful sugar skulls and paper flags. Recipes passed down through generations highlight fresh vegetables and healthy fare. The salsa with house-made corn chips as a starter changes every day, but each variety is a pleasure. Hominy stew with roast pork is traditionally garnished with shaved raw cabbage, radish, and red onion in pozole and then sprinkled with cucumber salsa for a fresh take; while boneless guajillo-marinated pork loin chops gain sweetness from grilled pineapple.",Mexican,"1626 S. Halsted St., Chicago 60609",37.0,IL,"4.3
17 Google reviews",Restaurant
Frances' Deli,0.0,"Frances' Deli is the type of quaint, lived-in diner everyone dreams of having just around the corner from home. Lucky Lincoln Park residents get that wish fulfilled at this authentic pre-war haunt packed with American antiques and memorabilia-where weekend waits are the norm as half the neighborhood vies for a place at one of the closely spaced tables. As with any good diner, breakfast, lunch, and dinner all know how to hit the spot. The deli roasts its own meats and does Jewish-American staples right, from flavorful, crisp-tender potato pancakes to oversized pastrami and brisket sandwiches with all the fixings (slaw, fries, and potato salad). As long as you're going for the full nostalgia trip, slurp down a made-to-order milkshake or malt.",Deli,"2552 N. Clark St., Chicago 60614",18.5,IL,"4.1
41 Google reviews",$$ · Deli
Frontera Grill,0.0,"The linchpin in Rick Bayless' empire, Frontera Grill is decidedly unique in its homage to regional Mexican cuisine and displays a near cult-like devotion to local product. The service at this dining room, psychedelic in its color scheme, can verge on vapid, but find a seat on the bar side for a warmer (and worthier) experience. The ever-changing menu is cohesive with a mix of classics and specialties like sopa azteca, a nourishing pasilla chile broth poured atop crisp tortilla strips, cool avocado, grilled chicken, and jack cheese. A version of the classic from Morelia, enchiladas a la plaza are first flash-fried, then folded over seasoned cabbage, potatoes, and carrots. Pair this plate with a side of spinach in green chile and you won't be unhappy. Ever.",Mexican,"445 N. Clark St., Chicago 60654",37.0,IL,"4.3
521 Google reviews",$$ · Mexican Restaurant
Saigon Sisters,0.0,"The sign of a great restaurant is when the owner is on-site, and such is the case at this local hot spot, where Mary Nguyen Aregoni is as gregarious and welcoming as her staff. Named after Mary and sister, Theresa Nguyen, the lofty space belies its compact size with huge glass windows and high ceilings. Simple banquettes and wood tables are a perfect canvas for the vibrant Vietnamese cuisine that comes speeding out of the kitchen. Lunch is busy with business types ordering the likes of a fragrant, satisfying, and clear pho floating with soft noodles, bean sprouts, jalapeños, and cilantro. Meanwhile, noodles stir-fried with thinly sliced hoisin-glazed pork, char-grilled red pepper, and sliced avocado are a dream team of flavor and texture.",Vietnamese,"567 W. Lake St., Chicago 60661",18.5,IL,None,None
Avec,0.0,"Fans have been clamoring for the dinner plates at this West Randolph mainstay for more than a decade-and now that lunch is on the menu, it's official: Avec is a non-stop hangout. It's a fun vibe, as diners are tightly packed at a long counter and communal seating in the chic wood plank encased room, and servers do a good job attending to the crowd. Mediterranean flavors factor prominently in the kitchen's stimulating creations, like a kale and carrot salad dressed with delightfully herbaceous and spicy green harissa as well as sunflower seeds for crunch. A thick slice of excellent whole grain bread spread with walnut-beet muhamarra is the foundation of an open-faced roasted salmon sandwich, and other delights-there are many-come and go with the seasons.",Mediterranean,"615 W. Randolph St., Chicago 60661",37.0,IL,"4.5
302 Google reviews",$$$ · Mediterranean Restaurant
Chicago Curry House,0.0,"Maybe you sniff the wafting aromas of ginger, garlic, and cumin first; maybe you hear the sitar music tinkling its welcoming notes as you enter. Either way, you know immediately that Chicago Curry House is a commendable showcase of Indian and Nepalese cuisine. The lunch buffet lets you eat your fill for under $12, with crispy pappadum, baskets of fresh naan, and must-have curries like the Nepalese khasi ko maasu with chunks of bone-in stewed goat in a velvety cardamom- and black pepper-sauce. Indian butter chicken, creamy and rich in a tomato- and garam masala-spiced stew, is equally sumptuous. À la carte offerings are even more extensive. The staff has helpful suggestions for dealing with the area's draconian parking restrictions, so call ahead for tips.",Indian,"899 S. Plymouth Ct., Chicago 60605",18.5,IL,"3.9
151 Google reviews",Indian Restaurant
Stax Café,0.0,"""We're Breakfast Geeks. We take this stuff way too seriously"" reads one of the server's T-shirts at Stax Café, and UIC students and staff are grateful for their dedication to heart-warming wake-up delights. From the coffee and fresh juice bar for on-the-go types, to flat-screen TVs for those dying to catch up on sports, this corner restaurant aims to get everyone's day started right. Breakfast items with tasty twists abound, like ricotta pancakes with strawberry-rhubarb compote; or the Spanish Harlem omelet served frittata-style with chorizo, roasted tomatoes, and poblano peppers. Can't choose? Get a side of mini waffles dusted with powdered sugar alongside your main dish, and don't forget to check out the chalkboards for specials-perhaps breakfast tacos?",American,"1401 W. Taylor St., Chicago 60607",18.5,IL,"4.2
68 Google reviews",$ · Cafe
Three Aces,0.0,"Look past the fact that Three Aces is a bar-a hip, dimly-lit, rock n' roll-loving bar at that-and you'll find a soulful kitchen with a deft hand at turning out Italian riffs on American farm-to-table cuisine. Inventive combinations are the order of the day on both the food and cocktail lists; the Fiery Jalesco gets motors revving with a delicately smoky blend of mezcal, St. Germain, and grapefruit aromatics. Many dishes beg for sharing, like the Calabrese pizzetta that heats things up with spicy sausage and red chili flakes. Roast beef panini takes its cue from Chicago's famous Italian beef, its pressed sourdough slices are slathered with aïoli, packed to the gills with tangy giardiniera and provolone, and served with garlicky beef jus.",Gastropub,"1321 W. Taylor St., Chicago 60607",37.0,IL,"4.4
99 Google reviews",$$ · Bar
Chicago q,0.0,"American barbecue is anything but honky tonk in this gorgeous Gold Coast setting. Everything within the bright, bi-level space seems to gleam, from the colossal contemporary light fixtures and sun-splashed skylights to the shimmering open kitchen and myriad bottles of whiskey at the bar. Elegant preparations elevate traditional barbecue elements, like a spicy pairing of cornmeal-dredged fried green tomatoes and habañero-glazed pork belly with red onion-mango relish. Baby back ribs-so tender they're practically falling off the bone-are served with a trio of house-made sauces for dipping and slathering. And pig lovers planning for a large party can order a whole pork shoulder carved tableside with a picnic-worthy spread of slaw, beans, and cornbread.",Barbecue,"1160 N. Dearborn St., Chicago 60610",37.0,IL,"4.5
196 Google reviews",$$ · Barbecue Restaurant
Old Jerusalem,0.0,"Set on a charming and centrally located stretch of Old Town, this family-run Middle Eastern favorite has been eagerly accommodating its happy customers for years. The menu focuses on Lebanese classics, such as tabbouleh with cracked wheat, scallions, and tomatoes, seasoned with lemon, olive oil, and plenty of crisp, green parsley. Hummus arrives rich with tahini, perhaps accompanying the likes of grilled chicken kebabs and traditional flatbreads. Finish with flaky-sweet baklava. While the décor may not impress, Old Jerusalem manages to make its well-worn look feel cozy and comfortable for everyone. Very reasonable prices, family-friendly service, and generous portions make this the neighborhood go-to, whether dining in or taking out.",Middle Eastern,"1411 N. Wells St., Chicago 60610",18.5,IL,"4.1
58 Google reviews",Middle Eastern Restaurant
Pizano's,0.0,"While Chicago may be hailed as home of the deep-dish pizza, the thin-crust pies at Pizano's have justly earned their own devoted following. This refreshing and cozy local spot recalls Italian-American style without feeling like a chain-restaurant cliché; even the waitstaff's genuine warmth is palpable. Of course, the crowds come for the crust-here it is flaky, buttery, thin (by local standards), and perfectly crisp. As unexpected as it sounds, their pizzas are some of the best in town. And yet, it should be no surprise as pizza has long been the family calling: owner Rudy Malnati's father founded Pizzeria Uno. The ""thinner"" offspring at Pizano's sates its growing fan-base from three locations, and even ships to those far from the Second City.",Pizza,"864 N. State St., Chicago 60610",18.5,IL,None,None
Las Palmas,0.0,"Vivid décor complements the spirited flavors on the menu at Las Palmas, from the colorful Mexican artwork on adobe-style walls to exposed ductwork welded to resemble a scaly dragon winding through the deceptively large space. If the weather suits, the outdoor garden or glassed-in atrium beckon; if not, a cozy fireplace in the front room keeps things intimate. The cocktail menu draws inspiration from both South and Central America, featuring a variety of capirinhas and mojitos alongside inventive cucumber-lime and pineapple margaritas. Vibrant and modern Mexican dishes like crispy taquitos with chicken barbacoa, pickled red onion, and tangy salsa cruda; as well as seafood-filled cornmeal empanadas with peanut-jalapeño relish showcase the kitchen's flair.",Mexican,"1835 W. North Ave., Chicago 60622",37.0,IL,"4.1
76 Google reviews",$$ · Mexican Restaurant
Owen &amp; Engine,0.0,"Owen & Engine's charm extends from its glossy black façade into its warm polished wood interior and all the way to the second-floor dining room that sees action into the wee hours. Brocade wallpaper, gas lights, and studded leather club chairs lend a Victorian feel. A frequently changing draft list always features a few selections pulled from a beer cask (or ""engine""). British-inspired gastropub grub matches the impressive roster of brews and Pimm's cups. Bar nibbles like mustard-glazed soft pretzels with Welsh rarebit for dipping; or peanuts tossed in sriracha, Worcestershire, and brown sugar cater to the snacking sort. Hearty entrées like bangers and mash feature house-made Slagel Family Farm's pork sausage and potatoes smothered in onion gravy.",Gastropub,"2700 N. Western Ave., Chicago 60647",37.0,IL,"4.5
152 Google reviews",$$ · British Restaurant
