name,stars,review,cooking_type,address,usd_avg,State,rating,price,cuisine
Brown Sugar Kitchen,0,"Its industrial West Oakland location is far from any sort of restaurant row, but visitors to this soul-food palace (open for breakfast and lunch only) will find plenty of company-mostly ahead of them in line. Over the years, Chef/owner Tanya Holland has built a loyal following of families as well as foodies who arrive early to avoid those long waits for tender, flaky biscuits and signature buttermilk fried chicken with a cornmeal waffle. Others go for the juicy jerk chicken with a kick of heat, cooled by mashed yams and pineapple-red onion salsa. The earthy, well-seasoned black-eyed pea salad is another favorite-and fittingly so. Casual and welcoming with a chill vibe and colorful look, BSK may be a crowd magnet, but it's earned the hype.",American,"2534 Mandela Pkwy., Oakland 94607",18.5,CA,4.2,$$,Soul
Hong Kong East Ocean,0,"Primo panoramic views of the Bay Bridge and cityscape give this two-story favorite well-deserved attention. The spacious dining rooms may appear slightly dated, but who cares, given the stunning waterfront scene? Lunchtime here at Hong Kong East Ocean is a dim sum affair. The place is packed with business folks savoring their xiao long bao (pork soup dumplings with fragrant, ginger-infused pork broth); fluffy pork buns; delicious rice noodle-cr̻pes filled with garlicky beef and cilantro; or steamed vegetable rolls, stuffed with saut̩ed mushrooms and wrapped in tofu. Nights draw a large crowd of local families who show up for seafood offerings such as wok-fried Dungeness crab with spicy herbs, or rock cod with ginger and scallions.",Chinese,"3199 Powell St., Emeryville 94608",18.5,CA,,,
Ohgane,0,"Ohgane still beats out the local Korean competition thanks to its delicious food, contemporary dining rooms, and private parking lot (huge bonus in this area!). Business crowds appreciate the all-you-can-eat lunch buffet. Meals here start with an assortment of banchan-sixteen small bites including spicy kimchi, glazed sweet yam, and mild egg cake. Other kitchen-prepared dishes include mandoo and dolsot bibimbap. At night, Korean families gather beneath the ventilation hoods for tabletop mesquite grilling (soot-bool)-a specialty that is absolutely the way to go for dinner. During lunch, have the kitchen grill it for you and still enjoy the likes of smoky and tender galbee-beef short ribs marinated for 72 hours in garlic, soy, and sesame oil.",Korean,"3915 Broadway, Oakland 94611",18.5,CA,4,$$,Korean
Artisan Bistro,0,"From the warm welcome to top-notch service, Artisan Bistro's staff makes dining here a genuine pleasure. They're aided by the quaint setting of a Craftsman-style cottage featuring a garden patio, romantic interior, and trickling fountain amongst the flora. Arrive early to kick things off with a creative cocktail at the tiny front bar, then move to a table to enjoy Chef/owner John Marquez's Cal-French fare. This may reveal a bright Cobb salad draped with delicately poached Maine lobster, or seared John Dory over artichokes, asparagus, and capers. Ladies who lunch swear by the chicken and avocado sandwich, served with shoestring fries. And for a fantastic finish, don't miss the outstanding butterscotch panna cotta with candied lemon and blueberry sauce.",French,"1005 Brown Ave., Lafayette 94549",37,CA,4.2,$$$,Bistro
Battambang,0,"Embrace the unknown at one of the Bay Area's very few Cambodian restaurants. Though the menu may be unfamiliar to Western palates, Battambang boasts warm, hands-on service that will make any diner feel at ease. Don't let its gaudy exterior deter you: the interior is pleasant and tastefully adorned. The must-order here is the amok trei, a hard-to-find dish of catfish steamed in a fragrant banana leaf. Layered with red lemongrass sauce and coconut milk, it's utterly beguiling. Equally good is the spicy-sour yihoeur char tumpaing, a stir-fry of calamari and bamboo shoots with lemongrass and ground chili. Adventurous diners should also sample the omelet-like num banchev, an eggy rice-flour cr̻pe with chicken, prawns, sprouts, and a strong, funky fish sauce.",Cambodian,"850 Broadway, Oakland 94607",18.5,CA,4.2,$$,Cambodian
Grand Avenue Thai,0,"Thanks to its charming d̩cor, friendly service, and flavorful cuisine, Grand Avenue Thai is a winning standout-just one block from picturesque Lake Merritt. The space is small with bright walls, fresh flowers, and colorful local artwork. Service is prompt even with a steady to-go business. Be sure to try one of the house favorites like the sweet and fragrant coconut curry with chunks of pumpkin, eggplant, broccoli, and string beans. Summer rolls neatly wrap up fresh veggies and garlicky rice noodles for a dip in peanut-chili sauce, while the ever-popular pad Thai combines plump prawns stir-fried with egg, bean sprouts, scallions, and peanuts in a tasty tamarind-Thai fish sauce. Spice can be tame, but the kitchen is happy to indulge the fire fiends.",Thai,"384 Grand Ave., Oakland 94610",18.5,CA,,,
Sahn Maru,0,"As one of East Bay's top Korean restaurants, Sahn Maru's name (which translates as ""top of the mountain"") is perfectly fitting. Its casual vibe, large size, and friendly service make it a good choice for groups. Never mind the wainscoting and country-quaint chairs that juxtapose walls covered with pictures of Korean dishes-this is a place for authentic food. Meals start with barley tea and tasty banchan like daikon kimchi, bean sprout salad in sesame oil, and fish cakes, alongside a bowl of delicately flavored kelp and daikon soup. Lunchtime might feature a deliciously unexpected combination of beef bulgogi stir-fried with jap chae. While the spot earns raves for Korean barbecue, the kitchen prepares it for you, as there are no tabletop grills.",Korean,"4315 Telegraph Ave., Oakland 94609",37,CA,,,
Sidebar,0,"A loyal crowd of regulars flocks to this lively Oakland gastropub, located right across Grand Avenue from Lake Merritt. Though it offers only a handful of tables, Sidebar makes eating at the spacious rectangular bar a delight, with attentive servers and a view of the action in the semi-open kitchen. The cuisine is hearty and varied with starters like a chopped romaine salad with fennel salami and creamy garlic-herb dressing; braised chicken thighs with curried coconut-lime cream; and deviled eggs with smoky bacon and cheddar. Themed evenings include Mussel Madness Mondays and Goat Cheese Souffl̩ Wednesdays, but there's no shame in sticking to the excellent Niman Ranch burger, with house-pickled onions and chipotle-Thousand Island dressing.",Gastropub,"542 Grand Ave., Oakland 94610",37,CA,,,
Commis,2,"Chef/owner James Syhabout may be keeping busy outside of Commis at his other popular restaurants, but this sparse Oakland original is still turning out elegant and creatively complex seasonal dishes to a packed house every night. Tucked into colorful, boutique-strewn Piedmont Avenue, this dining space is a long, clean, minimalist number with a smattering of tables up front; intimate banquette seating in the back; and a lively counter overlooking the humming kitchen. Soft hip-hop music and a vibrant service staff set the mood-cool and contemporary; relaxed but serious. In the kitchen, Chef Syhabout pairs well-sourced, local ingredients with precise technique to create his sophisticated nightly tasting, which continues to be exciting even for jaded gourmands. Dinner might unveil a plate of silky scallops paired with tangy cr̬me frąche, poached asparagus, and charred lemon granit̩; warm, roasted abalone with artichoke heart, fried artichoke slivers, and chicken sabayon; or a chilled fava bean soup laced with tarragon-infused cr̬me frąche, green tomato gel̩e, and smoked trout roe. A perfectly poached halibut confit with spring pea ""porridge"" and ginger foam is another beautifully composed plate that reflects the kitchen's attention to detail.",Contemporary,"3859 Piedmont Ave., Oakland 94611",112.5,CA,4.6,$$$$,Fine
Metro Lafayette,0,"The signs and framed vintage map hint of the Paris Metro, but this longtime hot spot could be renamed ""The Patio."" Both cuisine and dining are decidedly Californian and that means enjoying this flavor-packed fare out on the patio, or inside the sophisticated space fitted with a bar and sunroom overlooking local scenesters dining alfresco. The oft-changing menu embraces global flavors, so a meal might start with a surprisingly light and complex rendition of onion soup that is perfectly seasoned, silky from a dash of cream, and presented with parmesan toast. Follow this with two tacos loaded with tender grilled fish, salsa verde, avocado, drizzles of lime crema, and fresh tomato salsa. Seasonal desserts may reveal a warm organic plum crisp.",Californian,"3524 Mt. Diablo Blvd., Lafayette 94549",37,CA,3.7,$$,Californian
Prima,0,"With a premier location amid high-end boutiques, this contemporary Italian Romeo is a draw for business folk and local shoppers alike. The spacious interior wears a contemporary style accentuated by smart tables. There are three distinct seating areas: a glass-enclosed porch framed in dark wood, a front room with views of the wood-fired oven, and another dining haven just past the bar with a fireplace and vaulted ceilings. The food is authentically Italian, from a refreshing panzanella tossed with sweet basil and ripe heirloom tomatoes; to al dente tagliatelle swirled with a meaty rag�_. Considering the hefty prices, service may be lacking. But, all blemishes quickly fade away thanks to their distinguished atmosphere and notable food.",Italian,"1522 N. Main St., Walnut Creek 94596",62,CA,,,
Va de Vi,0,"""Va de vi"" is a Catalan phrase that roughly means ""It's all about wine."" Here you'll find no dissent from the moneyed locals who gather for flights with such cheeky names as ""There's No Place Like Rhone."" The fountain-enhanced, bucolic patio is a treasured sipping destination, as is the L-shaped counter with a view of the open kitchen set amid rich polished woods. Good wine demands good food, and the global menu offered here entices with ultra-fresh choices like ahi tuna tartare topped with wasabi tobiko; or roasted asparagus in romesco, crowned with baked prosciutto chips. Asian influences abound, particularly in soy-glazed black cod, or pork belly with sticky rice and a chili glaze. Add on a sweet staff and easy vibe-no wonder it's such a hit.",Fusion,"1511 Mt. Diablo Blvd., Walnut Creek 94596",37,CA,4.5,$$,Small
Crouching Tiger,0,"The heat is on at Redwood City's palace of Sichuan fare, where spice-hounds come for a dose of the chili-packed Chongqing chicken, mapo tofu, and other regional specialties. Sure, there may be blander options, but steaming platters of green chili-topped, richly flavored cumin lamb or plump prawns and crisp saut̩ed vegetables in hot garlic sauce are enough to induce a love of spice. Crouching Tiger's midday crowd can be its own fire-breathing dragon, with droves of local workers packing the tables for reasonably priced lunch specials with soup, salad, and rice. Large, round tables are great for big groups (kids too). The chic interior with its dark wood furnishings, art, and drum lanterns, is definitely a step up from the standard Chinese joint.",Chinese,"2644 Broadway St., Redwood City 94063",18.5,CA,,,
54 Mint,0,"With its largely Italian waitstaff and clientele, a meal at 54 Mint is the next best thing to a plane ticket to Rome. A happy respite from the neighborhood's hustle and bustle, the space boasts a contemporary dining room stocked with shelves of Italian ingredients and a surprisingly tranquil front patio facing Mint Plaza. The food is an authentic culinary journey through the Eternal City, with favorites like perfectly al dente bucatini all'amatriciana, twirled with smoked pancetta, sweet onion, tomato, and chili. The must-order suppli, fried balls of tomato risotto stuffed with smoked mozzarella, are best described as arancini on steroids. For dessert? The buttery, dark chocolate-flecked ricotta tart will leave you feeling molto buono.",Italian,"16 Mint Plaza, San Francisco 94103",37,CA,4.1,$$$,Italian
Diavola,0,"Its home in downtown Geyserville may look like the Wild West, but this devilishly good Italian restaurant can hold its own with any city slicker. Festooned with statues of saints, boar tusks, and stacks of cookbooks, it has a playful yet smart vibe. Excellent pizzas, like the signature combo of spicy meatballs, red peppers, provolone, pine nuts, and raisins, are the reason why crowds pack this spot. And top-notch house ingredientslike salumi, lardo, and cured olives elevate each and every dish. But, that's not to count out their exquisite pastas, including linguine tossed with baby octopus, bone marrow, zucchini, and bottarga. Desserts, like the chocolate pistachio semifreddo paired with a perfectly pulled Blue Bottle espresso, are yet another delight.",Pizza,"21021 Geyserville Ave., Geyserville 95441",37,CA,,,
FIVE,0,"Right off Berkeley's main drag, this pre-cinema and pre-theater favorite in the historic Hotel Shattuck Plaza boasts a seriously impressive dining room, with airy high ceilings, dramatic pillars, and a gorgeous statement chandelier. Locals and hotel guests seem to be equally in love with its large front bar. Fine dining it isn't, but FIVE has become a favorite for approachable American food-including items designed for Berkeley's sizable vegetarian crowd. A golden beet salad is a cornucopia of Californian ingredients including fresh ricotta, tomato, and cucumber, while the juicy, delicious house-ground burger is accompanied by addictive parmesan fries. For dessert, persimmon sorbet gives a burst of freshness to dense, intense chocolate lava cake.",American,"2086 Allston Way, Berkeley 94704",37,CA,,,
Donato Enoteca,0,"Set in Redwood City's sleek downtown, this Italian jewel draws lunching lawyers and civic workers from the nearby courthouses by day, and couples as well as families at dusk. The restaurant is spacious, with a patio boasting Sunbrellas and heat lamps, two dining rooms, and a large bar. Meanwhile its rustic, wood-centric d̩cor is glammed up with thick rugs and gilded mirrors. An array of pastas, wood-fired pizzas, salads, and meat dishes will please diners of all stripes, whether they opt for the house-made agnolotti del plin in a tomato-onion rag�_, or the roasted chicken in a buttery jus with green Bosana olives. Lingering in the laid-back environs is always encouraged, especially to savor the creamy melon semifreddo with candied almonds.",Italian,"1041 Middlefield Rd., Redwood City 94063",37,CA,4.3,$$,Italian
Madera,0,"As evidenced by the dozens of Teslas parked out front, this swanky spot in the Rosewood Sand Hill, adjacent to Silicon Valley's venture-capital row, is a second living room for wealthy techies. It's attired appropriately for the slick, moneyed crowd, with a grand open kitchen, roaring fireplace, and large outdoor patio complete with gorgeous views of the Santa Cruz mountains. Dishes are equally stunning, yet approachable: silky Alaskan halibut arrives with tangy green strawberries and makrut lime-infused cream, while meaty yellowfin tuna crudo with cucumber and avocado is sprinkled with caviar. The wine list brims with rare, pricey bottles, and desserts are divine-an inspired take on the Boston cream pie with salted caramel and Pop Rocks cannot be missed.",Contemporary,"2825 Sand Hill Rd., Menlo Park 94025",112.5,CA,,,
South Legend,0,"In the Sunnyhills strip mall, packed with Chinese restaurants and Asian markets, South Legend stands out for its fiery and lip-numbing interpretations of classic Sichuan cooking. Though Chengdu-style dim sum provides a brief respite on weekend mornings, it's all about the heat for the rest of the week in dishes like fried Chongqing chicken topped with piles of dried chilies. Large and no-frills, South Legend is usually crammed with locals looking for an authentic taste of their Chinese childhoods-grungy dining room and dated d̩cor be damned. They're too busy sweating out spicy pickled vegetables and enormous braised whole fish covered in still more chilies, then cooling off with some blander dan dan noodles and a pot of hot black tea.",Chinese,"1720 N. Milpitas Blvd., Milpitas 95035",18.5,CA,,,
Sakoon,0,"An Indian mainstay in Mountain View, Sakoon draws big techie crowds for its lunch buffet-and transforms into an upscale, contemporary dinnertime experience come sundown. Vibrant and cheerful, its oversized mirrors, modern furnishings, and brightly patterned banquettes delight the eye, as do the fiber-optic lights that pattern the ceiling with constantly shifting swirls of color. The food and service are strikingly attentive and polished, with well-constructed dishes like chaat ki parat (fried shredded wheat topped with potatoes, chickpeas, red onion, and cilantro) and a flavor-packed Chettinad chicken curry. For an unusual and satisfying dessert-like bread, try the Kashmiri naan filled with rosewater-soaked shredded coconut and toasted chopped nuts.",Indian,"357 Castro St., Mountain View 94041",37,CA,4,$$,Indian
flour + water,0,"As the name implies, two ingredients create a world of possibilities at this always-packed Mission hot spot. Neapolitan pizzas and handmade pastas (like al dente garganelli with whole-grain mustard and braised pork) will have you sighing after each bite, and a new selection of more traditional mains (such as seared duck breast with chanterelles and pecorino-dusted charred Brussels sprouts), scores every bit as big as the noodles and pies. Laid-back service, up-to-the-moment music, and a buzzy, effervescent vibe make flour + water the epitome of California cool. Throw in a glass of their refined Italian wine along with an alluring dessert like the salted caramel apple tart, and you can see why getting a table here is well worth the challenge.",Italian,"2401 Harrison St., San Francisco 94110",37,CA,,,
Frances,0,"This tiny, intensely personal restaurant from Chef/owner Melissa Perello has been a neighborhood hit from the get-go. Chic, cozy, and perpetually packed, it's as perfect for a low-key date night as it is for dinner with the kids. And while reservations are a nigh-impossible score, the gracious staff saves ten counter seats for walk-ins-and serves every diner with equal aplomb. Perello eschews trendy powders and foams for hearty, seasonal fare, like bacon beignets with maple-chive cr̬me frąche, vibrant spinach and green garlic soup with black pepper cookies, and pan-seared wild trout with sunchokes and spiced yogurt. An array of exquisite desserts, like buttermilk panna cotta with strawberries, offers a fresh, light conclusion.",Californian,"3870 17th St., San Francisco 94114",62,CA,4.5,$$$$,American
Starbelly,0,"The simplest things are often the best, as a meal at Starbelly deliciously proves. Whether you're twirling a forkful of garlicky tomato spaghetti with jalape̱os and house-made bacon, or squeezing a lime wedge over exquisite cornmeal-crusted fish tacos with spicy cabbage slaw, you're sure to savor something beautifully made, seasonal, and unfussy. Even an old-school sticky toffee cake is elevated with fresh Medjool dates and tangy mascarpone. A nexus of the Castro social scene, the cheerful, wood-paneled space is always full of locals hopping from table to table to greet their friends, and the back patio (heated and sheltered when it's foggy) is an appealing refuge. Be sure to make reservations: this is a local favorite, and for good reason.",Californian,"3583 16th St., San Francisco 94114",37,CA,4.1,$$,Californian
Delarosa,0,"People-watching aficionados will delight in this Marina favorite, where sidewalk tables afford a killer view of Chestnut Street's many stroller-pushing parents, awestruck tourists, and Pilates-toned socialites. Befitting the visual overload, bright orange is Delarosa's signature color and can be seen in light fixtures hanging over communal tables as well as eye-popping tiles in the kitchen. Simple, rustic Italian food steals the show, like spicy-smoky thin-crust pizzas topped with salami, coppa, and chopped chilies, or a fresh, flavorful salad of young kale with a pecorino-Caesar dressing. The laid-back vibe extends to the signature dessert: a trio of puffy, sugar-dusted bomboloni, served warm with chocolate, raspberry, and mascarpone dipping sauces.",Italian,"2175 Chestnut St., San Francisco 94123",37,CA,4.3,$$,Pizza
Papalote,0,"Head to this little standout for a lighter take on the gut-busting taqueria treats that define the Mission. Papalote manages to deliver the goods without the guilt, and the difference is clear in the outstanding fish tacos: corn tortillas piled with fresh, flaky white fish (saut̩ed in butter and garlic) along with sliced romaine and chopped tomato. Unlike the competition, Papalote doesn't have a salsa bar, but it doesn't need one: its defining feature is its gobsmackingly good, house-made roasted tomato salsa, which you'll want to slather on dishes like the pitch-perfect breakfast burrito, stuffed with scrambled eggs, chorizo, cheese, and guacamole. The space and service are bare-bones, but with food this good, you won't care.",Mexican,"3409 24th St., San Francisco 94110",18.5,CA,,,
Regalito,0,"Regalito is Spanish for ""little gift,"" and those who dine here will surely understand the choice of name. Instead of relying on the bold, spicy approach of local taquerias, Regalito takes a milder, ingredient-focused path, infusing dishes like chicken enchiladas with new life via handmade corn tortillas, fresh roast chicken, and a delicate green chili sauce. Familiar Mexican favorites get an upgrade here, from the super-sweet, fresh corn on the cob elote with tangy chili-lime mayo and cotija, to that silky vanilla flan bobbing in a pool of caramel sauce. The cheery, colorful space and friendly servers are welcoming, but the real charmers are those smiling cooks, who happily interact with diners in prime seats overlooking the open kitchen.",Mexican,"3481 18th St., San Francisco 94110",37,CA,,,
Modern Thai,0,"""Modern"" is a bit of a misnomer, as this tropical Thai retreat actually feels like a step back in time with its whitewashed colonial fa̤ade, linen-topped tables, and rattan chairs. But the anachronism also applies to the portions (incredibly generous) and prices (incredibly reasonable), making it a favorite for nine-to-fivers seeking an affordable lunch break. Sweet and spicy Thai flavors abound here, from warm salads of glass noodles and minced chicken with a fish sauce-lime vinaigrette to comforting noodle soups like the khao soy, with chicken and egg noodles in a rich yellow coconut curry. And the MT sundae, a combo of coconut ice cream, sugar palm fruit, red beans, and jackfruit, is a refreshing dessert perfect for lunchtime dining.",Thai,"1247 Polk St., San Francisco 94109",18.5,CA,,,
Encuentro,0,"Recently relocated, Encuentro is now sitting pretty in an industrial-chic space fitted with large windows, lofty ceilings, and an easy-breezy front bar. Though it's minimal in a California-meets-Manhattan way, the kitchen promises maximum satisfaction via its haute (read: heavenly) take on vegan treats. Avocado bruschetta drizzled with olive oil and chili jam entices with a kick of spice, while baby kale and roasted veggies are enriched with toasted quinoa and a lemon-tahini dressing. Here, each menu item is so carefully composed and appetizingly prepared (think of empanadas stuffed with pumpkin seed piccadillo served atop pinto beans with cashew crema) that you won't miss the meat-which explains why the dining room is peppered with carnivores.",Vegetarian,"550 2nd St., Oakland 94607",37,CA,4.6,$$,Vegetarian
The Peasant &amp; The Pear,0,"Peasants are hard to come by at this upscale Danville bistro, which draws ladies who lunch for long, leisurely meals in its cozy environs. But despite its wealthy clientele, The Pear (named for a nearby orchard that was once the world's largest) isn't the least bit stuffy, thanks to a friendly staff working the dining room and a relaxed California spirit in the kitchen. The playful and eclectic menu offers some fun nods to the name, like a white cheddar-and-garlic fondue accompanied by slices of delicate Anjou pears. A succulent piece of cod bathed in lemon beurre blanc and encrusted in puff pastry shows a balanced touch, and even pear obsessives might have to concede that the bubbling strawberry rhubarb cobbler is the height of fruity goodness.",International,"267 Hartz Ave., Danville 94526",37,CA,,,
La Costanera,0,"Set atop one of the most beautiful perches in the entire Bay Area, this bungalow boasts a gorgeous patio and a dining room that's walled with windows. While the panoramas are amazing-endless ocean, spectacular sunsets, and even frolicking dolphins if you're lucky-so are the boldly flavored plates produced by Chef Carlos Altamirano and his team. A cebiche tasting is the best way to experience Peru's national dish; while cool and creamy causas, perhaps topped with lobster and salmon roe, or garlicky anticucho de camarones hit with zesty aji amarillo and salsa verde are other treasures worth devouring. Be sure to sample the creative cocktails. Alternatively, try a delicious and refreshing chicha morada, which is safer for the drive home.",Peruvian,"8150 Cabrillo Hwy., Montara 94037",37,CA,4.5,$$$,Peruvian
Martins West,0,"British pub culture meets NorCal flavor at one of Redwood City's favorite after-work spots, where professionals gather for a pint and bite before snagging the Caltrain home. Named for a Scottish restaurateur (and childhood friend of the owner), Martins West has a comfy-chic feel with wax-dripping candelabras, wood floors, brick walls, and a well-stocked bar-including plenty of Scotch, of course. The gastropub food is appropriately hearty and includes not-to-be-missed Scotch quail eggs with a crispy exterior, inner layer of flavorful ground sausage, and runny center yolk. Ale-battered Pacific cod is accompanied by Indian-spiced fries and celery root-tartar sauce, while creamy ham and cheese croquettes sing with a dash of tamarind chutney.",Gastropub,"831 Main St., Redwood City 94063",37,CA,,,
Sweet Basil,0,"Set near a charming bayside walking and biking trail on Foster City's perimeter, Sweet Basil makes for a great meal after a stroll or ride. Inside, the space is snazzy and contemporary-looking with bamboo floors and rustic tables, but the vibe is casual with the waitstaff hustling to serve the daytime rush of office workers as well as families for dinner. Though you may have to wait for a table, the signature kabocha pumpkin and beef in a deeply flavorful red curry will merit your patience. Other faves include well-marinated chicken satay; spicy tofu stir-fried with bell peppers, garlic, and basil; and sticky rice topped with mango. You can choose your own spice level, but watch out-when they say hot, they're not kidding around.",Thai,"1473 Beach Park Blvd., Foster City 94404",37,CA,,,
Viognier,0,"One of the few remaining special-occasion spots in an increasingly casual dining landscape, this refined restaurant is full of guests dressed in their best; and the charming dining room with its roaring central fireplace is their equal. Service is attentive, and the semi-open exhibition kitchen is perpetually abuzz. Sip on a glass of Viognier's namesake wine before embarking on their five-course tasting menu, full of beautifully plated fare like a pungent spiced carrot soup with smoked ricotta salata; delicate winter squash tortellini in a brown butter-sage emulsion; as well as meaty 72-hour braised short ribs. Desserts are particularly exquisite-the white chocolate cheesecake, accented by tangy citrus curd and mandarin sorbet, is quite divine.",Contemporary,"222 E. 4th Ave., San Mateo 94401",62,CA,4,$$$,French
Quattro,0,"As is to be expected from a restaurant housed inside the Four Seasons, Quattro comes with a hefty price tag. But it's nothing that deal-doing tech moguls can't handle-even at lunchtime, when it's often bustling. With a sleek, airy atmosphere full of natural light (check out the impressive sculptures that line the stone walls), this is a swanky retreat worthy of its high-dollar clientele. The Italian-influenced menu has something for everyone, from a light pea, zucchini, and watercress ""garden bisque"" to a hearty seafood salad full of octopus, grilled prawns, and squid. Drinks are also notable: whether you seek tasty ""mocktails"" for lunchtime teetotaling or a pricey dinnertime bottle from the fully stocked iPad wine list, you'll find your match.",Italian,"2050 University Ave., East Palo Alto 94303",62,CA,4.3,$$$,Italian
Vung Tau,0,"It's easy to see why Vung Tau is a longtime love and go-to favorite among South Bay locals: picture an elegant d̩cor, hospitable service, massive menu, and tasty food. Inside, the large space combines several dining areas styled with soft beiges, wood accents, and pendant lights. Lunchtime draws in business crowds while dinner brings families, many of whom are of Vietnamese heritage. Authenticity is paramount in such offerings as hearty bun bo hue-ask for Vietnamese not American style-which comes with sliced flank steak, beef tendons, and pork blood in a spicy, earthy broth, served with a side of fresh herbs, lime, onions, and bean sprouts. Delicately sweet and creamy pleasures abound in b��nh khot, delightful coconut-prawn cups served with chili-fish sauce.",Vietnamese,"535 E. Santa Clara St., San Jose 95112",18.5,CA,,,
Norman Rose Tavern,0,"Right in the heart of downtown Napa, this appealing gastropub offers something for everyone, from hearty bacon-wrapped meatloaf with a smoky coffee-barbecue glaze, to satisfying and soul-warming vegetable soup. Burgers, salads, and even a menu of dressed-up fries (from chili-cheese, truffle-parmesan and sausage gravy to cheddar ""disco"" fries) are both appealing and affordable. The open, wood-beamed space with its rich leather banquettes and soft lighting, is ideal for both a beer-soaked game at the bar or group dinners in the bustling dining room. Solo diners will enjoy well-lit perches that peer into the kitchen, and charming servers are more than adept at keeping the party going until the last wedge of decadent, triple-layered carrot cake is devoured.",American,"1401 1st St., Napa 94559",37,CA,4.2,$$,Bar
Central Market,0,"Petaluma locals go gaga for this outstanding Mediterranean restaurant, which produces its own meats and vegetables, bakes delicious baguettes in-house, and serves as a community gathering place. The d̩cor is equal parts French country farmhouse and art gallery, with colorful paintings on the walls, fresh flowers on the tables, and a wood-burning oven in the open kitchen. The nightly prix-fixe offers a tour of the menu, from cabbage rolls stuffed with ground lamb and plump rice to perfectly seared diver scallops atop a silken potato pur̩e, accented by chopped black olives and sweet roasted cherry tomatoes. The buttery, flaky strawberry galette, full of deep red candied berries and topped with excellent vanilla ice cream, is a draw in and of itself.",Mediterranean,"42 Petaluma Blvd. N., Petaluma 94952",37,CA,4.4,$$,American
Jannah,0,"The name of Yahya Salih's lovely Middle Eastern restaurant translates to ""heaven,"" a concept echoed by its blue walls and ceiling, adorned with puffy white cloud paintings and glowing chandeliers. From the large front bar to the back patio, it's an airy and inviting choice for groups or families. Paradise extends to the plate, where seasonal California ingredients are highlighted in Kurdish and Iraqi specialties like grilled, mint-marinated lamb kabobs with outstanding accompaniments including creamy hummus, ultra-fresh tabbouleh, and crisp lavash. But diners veer towards more unique dishes like the perdaplow, a richly flavorful, basteeya-like phyllo pastry enclosing tender shredded chicken, fragrant cardamom, and sweet golden raisins.",Middle Eastern,"1775 Fulton St., San Francisco 94117",37,CA,4.3,$$,Middle
Piqueo's,0,"Gather your friends for a trip to Peru (with a layover in Bernal Heights) at Piqueo's, where the menu of flavor-packed small plates is built for sharing. From crispy yucca balls stuffed with cheese to tender pork adobo over mashed sweet potatoes, hearty palate-pleasers abound. Sauces are a house specialty; the tender beef empanada boasts a trio of garlicky huacatay, creamy huancaina, and spicy rocoto. And where else can you sample a quinoa-blueberry flan? While not as glamorous as upscale sister La Costanera, Piqueo's has its own charm, thanks to a quaint atmosphere with wood floors and an open kitchen. It's a standby for Bernal families, who stroll over in the evenings to catch up with the friendly servers and dig into their favorite dishes.",Peruvian,"830 Cortland Ave., San Francisco 94110",37,CA,4.3,$$,Peruvian
Cetrella,0,"What it lacks in million-dollar ocean views, Cetrella more than makes up for in charm. One of the most elegant and stylish restaurants along the coast, it's housed in a stunning Mediterranean-style villa with exposed trusses and skylights, a roaring central fireplace, and a humming exhibition kitchen. Throw in warm, welcoming service, and you'll never want to leave. Seasonal Californian ingredients get a Mediterranean spin here, and nightly specials like a warm Brussels sprouts salad with wood-smoked salmon or roasted pork chop with porcini mushrooms, heirloom carrots, and smoked ham jus are transcendent. This is definitely a meal worth dressing up for, so be sure to swap your beachwear for something more sophisticated before setting foot inside.",Mediterranean,"845 Main St., Half Moon Bay 94019",62,CA,,,
Wakuriya,1,"Innovative, serious, and very well-established, Wakuriya is the rare restaurant that successfully combines deep respect for kaiseki tradition with a contemporary touch. This is largely thanks to the lone chef behind the counter, Katsuhiro Yamasaki; his wife is the one so deftly managing and serving the entire dining room. The location is charmless and the d̩cor verges on nonexistent, but there is a sober elegance here to balance the low-key vibe. The room is fully booked on a nightly basis so reserve in advance. Each month brings a new set menu, perhaps beginning with fresh New Caledonian blue shrimp and squid seasoned with soy, grilled tableside over a heated stone. This may lead to appetizers that highlight pristine ingredients and jewel-like presentation, as in Tasmanian ocean trout sushi topped with mascarpone cheese and olives, or barbecued unagi rolled into an omelet. Comforting and fragrant soups may brim with fine noodles, shimeji mushrooms and duck magret that finishes cooking in the warm broth. Once you are halfway through the clay pot filled with madai snapper and hot dashi, go ahead and empty the rest of your rice into the broth-it is the best way to ensure you do not miss a drop.",Japanese,"115 De Anza Blvd., San Mateo 94402",112.5,CA,4.6,$$$$,Japanese
